time,strength,rel.price
2017-05-23 15:55,0,0
2017-05-23 16:45,0,-59
2017-05-23 16:59,0,-31
2017-05-23 17:30,-61,24
2017-05-23 18:30,0,27
2017-05-23 23:30,0,-56
2017-05-23 23:35,0,-40
2017-05-24 01:45,0,-24
2017-05-24 02:00,0,-16
2017-05-24 03:30,-98,-11
2017-05-24 04:30,-113,9
2017-05-24 07:30,65,9
2017-05-24 08:00,80,9
2017-05-24 09:00,0,9
2017-05-24 10:00,174,9
2017-05-24 10:15,-127,9
2017-05-24 10:30,53,9
2017-05-24 11:00,-102,9
2017-05-24 11:30,365,9
2017-05-24 12:35,170,9
2017-05-24 12:40,300,9
2017-05-24 13:00,222,9
2017-05-24 15:30,39,9
2017-05-24 15:58,338,9
2017-05-24 16:00,338,9
2017-05-24 16:03,498,9
2017-05-24 16:45,-43,9
2017-05-24 16:59,-35,9
2017-05-24 17:00,-35,9
2017-05-24 17:30,-57,9
2017-05-24 20:00,-86,9
2017-05-25 01:45,88,-38
2017-05-25 02:50,103,0
2017-05-25 04:30,119,73
2017-05-25 05:00,62,73
2017-05-25 11:00,-35,73
2017-05-25 11:30,-275,73
2017-05-25 12:35,25,73
2017-05-25 15:30,-47,73
2017-05-25 15:58,61,73
2017-05-25 16:00,59,73
2017-05-25 16:03,142,73
2017-05-25 17:30,120,73
2017-05-25 18:00,161,73
2017-05-26 02:30,68,310
2017-05-26 02:50,68,310
2017-05-26 11:30,-85,499
2017-05-26 15:30,51,291
2017-05-26 17:30,-33,142
2017-05-26 22:30,59,211
2017-05-27 02:30,283,177
2017-05-27 02:50,15,177
2017-05-27 15:30,27,177
2017-05-29 08:30,58,177
2017-05-29 10:00,24,260
2017-05-29 10:15,163,250
2017-05-29 11:00,247,295
2017-05-29 12:10,-602,297
2017-05-30 01:45,14,184
2017-05-30 02:30,-9,184
2017-05-30 02:50,-9,184
2017-05-30 04:30,341,184
2017-05-30 09:00,-65,184
2017-05-30 09:45,-67,184
2017-05-30 10:00,-336,184
2017-05-30 11:30,-501,74
2017-05-30 12:00,-128,39
2017-05-30 12:16,-218,25
2017-05-30 12:30,-210,11
2017-05-30 12:47,-651,-18
2017-05-30 15:30,-267,55
2017-05-30 16:00,-405,136
2017-05-30 17:00,68,99
2017-05-30 17:30,21,145
2017-05-30 18:30,177,185
2017-05-31 01:01,-145,117
2017-05-31 01:50,-173,117
2017-05-31 02:01,-173,117
2017-05-31 02:30,-202,117
2017-05-31 02:50,-53,117
2017-05-31 03:00,-53,117
2017-05-31 03:30,-193,117
2017-05-31 04:00,32,117
2017-05-31 04:30,42,117
2017-05-31 08:00,-47,117
2017-05-31 08:45,-563,117
2017-05-31 09:00,-298,117
2017-05-31 09:45,-265,117
2017-05-31 10:00,-230,117
2017-05-31 10:30,95,140
2017-05-31 10:55,-350,189
2017-05-31 11:00,-312,254
2017-05-31 11:12,268,210
2017-05-31 11:30,173,182
2017-05-31 12:00,-473,229
2017-05-31 12:12,186,225
2017-05-31 12:16,434,223
2017-05-31 13:05,88,177
2017-05-31 14:30,292,240
2017-05-31 14:55,357,290
2017-05-31 15:30,250,303
2017-05-31 15:45,212,398
2017-05-31 15:55,211,412
2017-05-31 16:30,-57,385
2017-05-31 16:45,-71,385
2017-05-31 17:30,-97,443
2017-05-31 23:30,-29,635
2017-06-01 01:45,-18,680
2017-06-01 02:01,-18,682
2017-06-01 02:30,-174,693
2017-06-01 02:50,-26,693
2017-06-01 03:30,-209,693
2017-06-01 04:30,-57,693
2017-06-01 06:45,-233,693
2017-06-01 08:45,-103,693
2017-06-01 09:00,-5,693
2017-06-01 09:30,-116,693
2017-06-01 09:45,174,693
2017-06-01 10:15,-93,693
2017-06-01 10:30,414,693
2017-06-01 10:45,105,693
2017-06-01 10:50,-25,693
2017-06-01 10:55,144,693
2017-06-01 11:00,106,693
2017-06-01 11:30,-30,803
2017-06-01 11:50,-90,769
2017-06-01 11:59,49,747
2017-06-01 12:00,32,747
2017-06-01 12:30,301,786
2017-06-01 12:32,301,790
2017-06-01 12:34,226,790
2017-06-01 12:35,60,790
2017-06-01 12:40,60,765
2017-06-01 13:25,-30,794
2017-06-01 14:30,31,885
2017-06-01 15:15,318,866
2017-06-01 15:30,327,841
2017-06-01 16:30,174,890
2017-06-01 16:45,172,-4413
2017-06-01 17:30,151,981
2017-06-01 18:00,-50,1041
2017-06-01 22:30,-144,939
2017-06-02 00:00,-12,987
2017-06-02 01:02,-13,988
2017-06-02 02:30,-2,988
2017-06-02 02:50,-66,988
2017-06-02 04:00,37,988
2017-06-02 04:30,80,988
2017-06-02 08:00,19,988
2017-06-02 08:45,54,988
2017-06-02 10:00,39,988
2017-06-02 10:15,-6,988
2017-06-02 10:30,-8,988
2017-06-02 10:45,112,988
2017-06-02 11:30,173,927
2017-06-02 11:59,148,914
2017-06-02 12:00,148,914
